StationID,ECO_ID,ECO_NAME
USH00287079,"50411",Northeastern coastal forests
USH00302129,"50411",Northeastern coastal forests
USH00303259,"50411",Northeastern coastal forests
USH00305801,"50411",Northeastern coastal forests
USH00306820,"50411",Northeastern coastal forests
USH00308248,"50411",Northeastern coastal forests
USH00308600,"50411",Northeastern coastal forests
USH00309292,"50411",Northeastern coastal forests
USH00309670,"50411",Northeastern coastal forests
USH00362537,"50411",Northeastern coastal forests
USH00369464,"50411",Northeastern coastal forests
USH00369933,"50411",Northeastern coastal forests
USH00374266,"50411",Northeastern coastal forests
USH00376698,"50411",Northeastern coastal forests
USH00172426,"50410",New England/Acadian forests
USH00301185,"50406",Eastern forest/boreal transition
USH00301966,"50406",Eastern forest/boreal transition
USH00303319,"50406",Eastern forest/boreal transition
USH00304102,"50406",Eastern forest/boreal transition
USH00304555,"50406",Eastern forest/boreal transition
USH00304647,"50406",Eastern forest/boreal transition
USH00304912,"50406",Eastern forest/boreal transition
USH00308631,"50406",Eastern forest/boreal transition
USH00308944,"50406",Eastern forest/boreal transition
USH00273850,"50411",Northeastern coastal forests
USH00120177,"50414",Southern Great Lakes forests
USH00120200,"50414",Southern Great Lakes forests
USH00120676,"50414",Southern Great Lakes forests
USH00121229,"50414",Southern Great Lakes forests
USH00121425,"50414",Southern Great Lakes forests
USH00121747,"50414",Southern Great Lakes forests
USH00121873,"50414",Southern Great Lakes forests
USH00122149,"50414",Southern Great Lakes forests
USH00123418,"50414",Southern Great Lakes forests
USH00123513,"50414",Southern Great Lakes forests
USH00123527,"50414",Southern Great Lakes forests
USH00124181,"50414",Southern Great Lakes forests
USH00124837,"50414",Southern Great Lakes forests
USH00125337,"50414",Southern Great Lakes forests
USH00127482,"50414",Southern Great Lakes forests
USH00127646,"50414",Southern Great Lakes forests
USH00127875,"50414",Southern Great Lakes forests
USH00127935,"50414",Southern Great Lakes forests
USH00129557,"50414",Southern Great Lakes forests
USH00129670,"50414",Southern Great Lakes forests
USH00200032,"50414",Southern Great Lakes forests
USH00200128,"50414",Southern Great Lakes forests
USH00200146,"50414",Southern Great Lakes forests
USH00200230,"50414",Southern Great Lakes forests
USH00200779,"50414",Southern Great Lakes forests
USH00201675,"50414",Southern Great Lakes forests
USH00202423,"50414",Southern Great Lakes forests
USH00203632,"50414",Southern Great Lakes forests
USH00203823,"50414",Southern Great Lakes forests
USH00204244,"50414",Southern Great Lakes forests
USH00205434,"50414",Southern Great Lakes forests
USH00205650,"50414",Southern Great Lakes forests
USH00205662,"50414",Southern Great Lakes forests
USH00206300,"50414",Southern Great Lakes forests
USH00207690,"50414",Southern Great Lakes forests
USH00300321,"50414",Southern Great Lakes forests
USH00300443,"50414",Southern Great Lakes forests
USH00300937,"50414",Southern Great Lakes forests
